unit_symbol,unit_name,category,prohibition_reason,violation_severity,penalty_clause
lbs,Pounds,Imperial Mass,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (g/kg) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
pound,Pound,Imperial Mass,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (g/kg) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
pounds,Pounds,Imperial Mass,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (g/kg) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
gallon,Gallon,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (l/ml) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
gallons,Gallons,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (l/ml) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
gal,Gallon,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (l/ml) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
quart,Quart,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (l/ml) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
quarts,Quarts,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (l/ml) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
qt,Quart,Imperial Volume,Prohibited under Rule 11 & Rule 12 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (l/ml) are mandatory in India.,CRITICAL,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence ₹50000 for second offence ₹100000/1 year imprisonment for subsequent offences)
yard,Yard,Imperial Length,Non-standard unit under Rule 11 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (m/cm) are mandatory in India.,HIGH,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence)
yards,Yards,Imperial Length,Non-standard unit under Rule 11 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (m/cm) are mandatory in India.,HIGH,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence)
yds,Yards,Imperial Length,Non-standard unit under Rule 11 of Legal Metrology (Packaged Commodities) Rules 2011. Metric SI units (m/cm) are mandatory in India.,HIGH,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence)
inches,Inches,Imperial Length,Non-standard unit under Rule 11 of Legal Metrology (Packaged Commodities) Rules 2011 when declaring net commodity dimensions without metric equivalent.,HIGH,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence)
inch,Inch,Imperial Length,Non-standard unit under Rule 11 of Legal Metrology (Packaged Commodities) Rules 2011 when declaring net commodity dimensions without metric equivalent.,HIGH,Section 36 Legal Metrology Act 2009 (Fine up to ₹25000 for first offence)
